V_B2_A,V_B2_B,V_B2_C,I_B2_A,I_B2_B,I_B2_C,V_B3_A,V_B3_B,V_B3_C,I_B3_A,I_B3_B,I_B3_C,V_B4_A,V_B4_B,V_B4_C,I_B4_A,I_B4_B,I_B4_C,V_B5_A,V_B5_B,V_B5_C,I_B5_A,I_B5_B,I_B5_C,class,label,scenario
10754.4118916499,10754.4118916773,10754.41189167,62.3719902860011,62.3719902861046,62.3719902862312,10690.7046564269,10690.7046564546,10690.7046564468,82.7745460538796,82.7745460540045,82.7745460541765,10660.9463900081,10660.9463900339,10660.9463900268,103.258629933211,103.258629933385,103.258629933584,10868.1114725009,10868.1114725146,10868.1114724967,69.5258909037961,69.5258909039975,69.5258909039026,0,Healthy,Healthy LM=0.55 rep=1
10754.4118916499,10754.4118916773,10754.41189167,62.3719902860011,62.3719902861046,62.3719902862312,10690.7046564269,10690.7046564546,10690.7046564468,82.7745460538796,82.7745460540045,82.7745460541765,10660.9463900081,10660.9463900339,10660.9463900268,103.258629933211,103.258629933385,103.258629933584,10868.1114725009,10868.1114725146,10868.1114724967,69.5258909037961,69.5258909039975,69.5258909039026,0,Healthy,Healthy LM=0.55 rep=2
10754.4118916499,10754.4118916773,10754.41189167,62.3719902860011,62.3719902861046,62.3719902862312,10690.7046564269,10690.7046564546,10690.7046564468,82.7745460538796,82.7745460540045,82.7745460541765,10660.9463900081,10660.9463900339,10660.9463900268,103.258629933211,103.258629933385,103.258629933584,10868.1114725009,10868.1114725146,10868.1114724967,69.5258909037961,69.5258909039975,69.5258909039026,0,Healthy,Healthy LM=0.55 rep=3
10754.4118916499,10754.4118916773,10754.41189167,62.3719902860011,62.3719902861046,62.3719902862312,10690.7046564269,10690.7046564546,10690.7046564468,82.7745460538796,82.7745460540045,82.7745460541765,10660.9463900081,10660.9463900339,10660.9463900268,103.258629933211,103.258629933385,103.258629933584,10868.1114725009,10868.1114725146,10868.1114724967,69.5258909037961,69.5258909039975,69.5258909039026,0,Healthy,Healthy LM=0.55 rep=4
10754.4118916499,10754.4118916773,10754.41189167,62.3719902860011,62.3719902861046,62.3719902862312,10690.7046564269,10690.7046564546,10690.7046564468,82.7745460538796,82.7745460540045,82.7745460541765,10660.9463900081,10660.9463900339,10660.9463900268,103.258629933211,103.258629933385,103.258629933584,10868.1114725009,10868.1114725146,10868.1114724967,69.5258909037961,69.5258909039975,69.5258909039026,0,Healthy,Healthy LM=0.55 rep=5
10754.4118916499,10754.4118916773,10754.41189167,62.3719902860011,62.3719902861046,62.3719902862312,10690.7046564269,10690.7046564546,10690.7046564468,82.7745460538796,82.7745460540045,82.7745460541765,10660.9463900081,10660.9463900339,10660.9463900268,103.258629933211,103.258629933385,103.258629933584,10868.1114725009,10868.1114725146,10868.1114724967,69.5258909037961,69.5258909039975,69.5258909039026,0,Healthy,Healthy LM=0.55 rep=6
10754.4118916499,10754.4118916773,10754.41189167,62.3719902860011,62.3719902861046,62.3719902862312,10690.7046564269,10690.7046564546,10690.7046564468,82.7745460538796,82.7745460540045,82.7745460541765,10660.9463900081,10660.9463900339,10660.9463900268,103.258629933211,103.258629933385,103.258629933584,10868.1114725009,10868.1114725146,10868.1114724967,69.5258909037961,69.5258909039975,69.5258909039026,0,Healthy,Healthy LM=0.55 rep=7
10754.4118916499,10754.4118916773,10754.41189167,62.3719902860011,62.3719902861046,62.3719902862312,10690.7046564269,10690.7046564546,10690.7046564468,82.7745460538796,82.7745460540045,82.7745460541765,10660.9463900081,10660.9463900339,10660.9463900268,103.258629933211,103.258629933385,103.258629933584,10868.1114725009,10868.1114725146,10868.1114724967,69.5258909037961,69.5258909039975,69.5258909039026,0,Healthy,Healthy LM=0.55 rep=8
10754.4118916499,10754.4118916773,10754.41189167,62.3719902860011,62.3719902861046,62.3719902862312,10690.7046564269,10690.7046564546,10690.7046564468,82.7745460538796,82.7745460540045,82.7745460541765,10660.9463900081,10660.9463900339,10660.9463900268,103.258629933211,103.258629933385,103.258629933584,10868.1114725009,10868.1114725146,10868.1114724967,69.5258909037961,69.5258909039975,69.5258909039026,0,Healthy,Healthy LM=0.55 rep=9
10754.4118916499,10754.4118916773,10754.41189167,62.3719902860011,62.3719902861046,62.3719902862312,10690.7046564269,10690.7046564546,10690.7046564468,82.7745460538796,82.7745460540045,82.7745460541765,10660.9463900081,10660.9463900339,10660.9463900268,103.258629933211,103.258629933385,103.258629933584,10868.1114725009,10868.1114725146,10868.1114724967,69.5258909037961,69.5258909039975,69.5258909039026,0,Healthy,Healthy LM=0.55 rep=10
